,City,Country,Date,Temperature,Humidity,Wind Speed
225,Sarajevo,Bosnia and Herzegovina,2023-02-25 21:00:00,6.64,90,1.17
226,Sarajevo,Bosnia and Herzegovina,2023-02-26 00:00:00,4.42,96,1.72
227,Sarajevo,Bosnia and Herzegovina,2023-02-26 03:00:00,1.54,97,2.51
228,Sarajevo,Bosnia and Herzegovina,2023-02-26 06:00:00,0.17,98,2.61
229,Sarajevo,Bosnia and Herzegovina,2023-02-26 09:00:00,0.44,96,2.34
230,Sarajevo,Bosnia and Herzegovina,2023-02-26 12:00:00,0.4,96,2.45
231,Sarajevo,Bosnia and Herzegovina,2023-02-26 15:00:00,-0.69,97,2.25
232,Sarajevo,Bosnia and Herzegovina,2023-02-26 18:00:00,-1.71,98,1.55
233,Sarajevo,Bosnia and Herzegovina,2023-02-26 21:00:00,-1.94,98,1.4
234,Sarajevo,Bosnia and Herzegovina,2023-02-27 00:00:00,-2.42,98,1.22
235,Sarajevo,Bosnia and Herzegovina,2023-02-27 03:00:00,-2.02,98,1.06
236,Sarajevo,Bosnia and Herzegovina,2023-02-27 06:00:00,-1.86,98,1.02
237,Sarajevo,Bosnia and Herzegovina,2023-02-27 09:00:00,-0.09,95,1.28
238,Sarajevo,Bosnia and Herzegovina,2023-02-27 12:00:00,1.75,96,1.0
239,Sarajevo,Bosnia and Herzegovina,2023-02-27 15:00:00,2.2,97,1.24
240,Sofia,Bulgaria,2023-02-22 18:00:00,13.47,48,0.69
241,Sofia,Bulgaria,2023-02-22 21:00:00,11.7,58,0.2
242,Sofia,Bulgaria,2023-02-23 00:00:00,9.12,70,0.06
243,Sofia,Bulgaria,2023-02-23 03:00:00,5.94,83,0.75
244,Sofia,Bulgaria,2023-02-23 06:00:00,5.57,84,1.21
245,Sofia,Bulgaria,2023-02-23 09:00:00,10.65,63,1.55
246,Sofia,Bulgaria,2023-02-23 12:00:00,14.02,51,2.34
247,Sofia,Bulgaria,2023-02-23 15:00:00,12.44,60,3.56
248,Sofia,Bulgaria,2023-02-23 18:00:00,9.03,80,3.04
249,Sofia,Bulgaria,2023-02-23 21:00:00,8.13,85,3.2
250,Sofia,Bulgaria,2023-02-24 00:00:00,6.88,91,2.74
251,Sofia,Bulgaria,2023-02-24 03:00:00,6.37,92,2.18
252,Sofia,Bulgaria,2023-02-24 06:00:00,6.38,90,1.94
253,Sofia,Bulgaria,2023-02-24 09:00:00,9.36,75,1.43
254,Sofia,Bulgaria,2023-02-24 12:00:00,12.91,58,0.75
255,Sofia,Bulgaria,2023-02-24 15:00:00,12.59,60,0.61
256,Sofia,Bulgaria,2023-02-24 18:00:00,9.82,72,1.09
257,Sofia,Bulgaria,2023-02-24 21:00:00,7.73,81,0.67
258,Sofia,Bulgaria,2023-02-25 00:00:00,6.59,86,0.69
259,Sofia,Bulgaria,2023-02-25 03:00:00,5.77,89,0.65
260,Sofia,Bulgaria,2023-02-25 06:00:00,5.89,89,0.44
261,Sofia,Bulgaria,2023-02-25 09:00:00,11.94,57,2.28
262,Sofia,Bulgaria,2023-02-25 12:00:00,15.5,43,5.66
263,Sofia,Bulgaria,2023-02-25 15:00:00,14.62,48,6.4
264,Sofia,Bulgaria,2023-02-25 18:00:00,12.46,57,6.79
265,Sofia,Bulgaria,2023-02-25 21:00:00,12.08,56,5.87
266,Sofia,Bulgaria,2023-02-26 00:00:00,11.39,56,5.71
267,Sofia,Bulgaria,2023-02-26 03:00:00,10.31,60,4.42
268,Sofia,Bulgaria,2023-02-26 06:00:00,9.73,63,2.04
269,Sofia,Bulgaria,2023-02-26 09:00:00,14.77,41,3.91
270,Sofia,Bulgaria,2023-02-26 12:00:00,16.09,40,5.34
271,Sofia,Bulgaria,2023-02-26 15:00:00,13.81,53,2.65
272,Sofia,Bulgaria,2023-02-26 18:00:00,10.74,70,1.07
273,Sofia,Bulgaria,2023-02-26 21:00:00,8.48,78,1.2
274,Sofia,Bulgaria,2023-02-27 00:00:00,6.25,84,1.28
275,Sofia,Bulgaria,2023-02-27 03:00:00,5.61,86,2.15
276,Sofia,Bulgaria,2023-02-27 06:00:00,5.26,83,1.84
277,Sofia,Bulgaria,2023-02-27 09:00:00,8.1,72,1.17
278,Sofia,Bulgaria,2023-02-27 12:00:00,11.16,61,2.0
279,Sofia,Bulgaria,2023-02-27 15:00:00,9.18,69,3.75
280,Zagreb ,Croatia,2023-02-22 18:00:00,15.39,48,0.5
281,Zagreb ,Croatia,2023-02-22 21:00:00,13.39,58,0.71
282,Zagreb ,Croatia,2023-02-23 00:00:00,10.46,73,1.28
283,Zagreb ,Croatia,2023-02-23 03:00:00,6.98,88,1.13
284,Zagreb ,Croatia,2023-02-23 06:00:00,6.73,84,1.23
285,Zagreb ,Croatia,2023-02-23 09:00:00,10.06,66,1.11
286,Zagreb ,Croatia,2023-02-23 12:00:00,13.1,54,1.54
287,Zagreb ,Croatia,2023-02-23 15:00:00,13.01,56,1.35
288,Zagreb ,Croatia,2023-02-23 18:00:00,10.67,68,1.16
289,Zagreb ,Croatia,2023-02-23 21:00:00,10.24,72,1.66
290,Zagreb ,Croatia,2023-02-24 00:00:00,9.53,77,2.27
291,Zagreb ,Croatia,2023-02-24 03:00:00,8.0,83,2.36
292,Zagreb ,Croatia,2023-02-24 06:00:00,7.47,85,2.18
293,Zagreb ,Croatia,2023-02-24 09:00:00,11.12,71,3.37
294,Zagreb ,Croatia,2023-02-24 12:00:00,12.37,67,3.92
295,Zagreb ,Croatia,2023-02-24 15:00:00,12.42,70,4.34
296,Zagreb ,Croatia,2023-02-24 18:00:00,11.46,71,4.77
297,Zagreb ,Croatia,2023-02-24 21:00:00,11.06,75,4.21
298,Zagreb ,Croatia,2023-02-25 00:00:00,11.82,71,5.23
299,Zagreb ,Croatia,2023-02-25 03:00:00,11.91,70,7.33
300,Zagreb ,Croatia,2023-02-25 06:00:00,11.46,70,4.78
301,Zagreb ,Croatia,2023-02-25 09:00:00,7.82,82,3.82
302,Zagreb ,Croatia,2023-02-25 12:00:00,4.38,90,3.6
303,Zagreb ,Croatia,2023-02-25 15:00:00,3.0,96,2.04
304,Zagreb ,Croatia,2023-02-25 18:00:00,2.92,96,1.45
305,Zagreb ,Croatia,2023-02-25 21:00:00,2.21,98,1.96
306,Zagreb ,Croatia,2023-02-26 00:00:00,2.17,98,2.32
307,Zagreb ,Croatia,2023-02-26 03:00:00,0.73,98,2.99
308,Zagreb ,Croatia,2023-02-26 06:00:00,1.07,84,1.64
309,Zagreb ,Croatia,2023-02-26 09:00:00,2.38,67,3.56
310,Zagreb ,Croatia,2023-02-26 12:00:00,3.82,61,4.51
311,Zagreb ,Croatia,2023-02-26 15:00:00,4.33,59,4.66
312,Zagreb ,Croatia,2023-02-26 18:00:00,2.78,62,4.08
313,Zagreb ,Croatia,2023-02-26 21:00:00,2.19,66,3.88
314,Zagreb ,Croatia,2023-02-27 00:00:00,1.33,67,4.19
315,Zagreb ,Croatia,2023-02-27 03:00:00,-0.04,87,4.0
316,Zagreb ,Croatia,2023-02-27 06:00:00,-0.18,94,3.58
317,Zagreb ,Croatia,2023-02-27 09:00:00,0.73,89,3.52
318,Zagreb ,Croatia,2023-02-27 12:00:00,2.08,84,3.59
319,Zagreb ,Croatia,2023-02-27 15:00:00,2.72,80,3.31
320,Prague,Czech Republic,2023-02-22 18:00:00,9.72,74,2.7
321,Prague,Czech Republic,2023-02-22 21:00:00,8.56,77,1.7
322,Prague,Czech Republic,2023-02-23 00:00:00,7.1,81,1.32
323,Prague,Czech Republic,2023-02-23 03:00:00,6.41,84,1.36
324,Prague,Czech Republic,2023-02-23 06:00:00,6.07,85,1.39
325,Prague,Czech Republic,2023-02-23 09:00:00,8.4,76,1.63
326,Prague,Czech Republic,2023-02-23 12:00:00,10.65,69,1.71
327,Prague,Czech Republic,2023-02-23 15:00:00,11.09,66,0.57
328,Prague,Czech Republic,2023-02-23 18:00:00,9.43,76,0.97
329,Prague,Czech Republic,2023-02-23 21:00:00,8.79,85,2.42
330,Prague,Czech Republic,2023-02-24 00:00:00,8.22,87,2.49
331,Prague,Czech Republic,2023-02-24 03:00:00,7.69,80,2.36
332,Prague,Czech Republic,2023-02-24 06:00:00,7.0,81,1.9
333,Prague,Czech Republic,2023-02-24 09:00:00,7.1,82,2.58
334,Prague,Czech Republic,2023-02-24 12:00:00,7.35,82,3.51
335,Prague,Czech Republic,2023-02-24 15:00:00,8.65,72,3.67
336,Prague,Czech Republic,2023-02-24 18:00:00,6.37,86,3.82
337,Prague,Czech Republic,2023-02-24 21:00:00,5.21,78,4.39
338,Prague,Czech Republic,2023-02-25 00:00:00,3.47,85,4.83
339,Prague,Czech Republic,2023-02-25 03:00:00,2.71,72,6.41
340,Prague,Czech Republic,2023-02-25 06:00:00,1.17,73,6.89
341,Prague,Czech Republic,2023-02-25 09:00:00,3.09,60,8.33
342,Prague,Czech Republic,2023-02-25 12:00:00,3.51,60,8.14
343,Prague,Czech Republic,2023-02-25 15:00:00,2.27,63,7.8
344,Prague,Czech Republic,2023-02-25 18:00:00,0.0,72,5.67
345,Prague,Czech Republic,2023-02-25 21:00:00,-0.61,72,4.98
346,Prague,Czech Republic,2023-02-26 00:00:00,-0.77,81,5.25
347,Prague,Czech Republic,2023-02-26 03:00:00,-0.78,77,4.37
348,Prague,Czech Republic,2023-02-26 06:00:00,-1.34,79,4.26
349,Prague,Czech Republic,2023-02-26 09:00:00,0.23,64,6.17
350,Prague,Czech Republic,2023-02-26 12:00:00,1.57,54,5.5
351,Prague,Czech Republic,2023-02-26 15:00:00,1.9,56,6.08
352,Prague,Czech Republic,2023-02-26 18:00:00,-0.66,77,5.22
353,Prague,Czech Republic,2023-02-26 21:00:00,-1.58,79,4.33
354,Prague,Czech Republic,2023-02-27 00:00:00,-2.2,80,3.42
355,Prague,Czech Republic,2023-02-27 03:00:00,-2.63,81,2.7
356,Prague,Czech Republic,2023-02-27 06:00:00,-3.07,79,2.65
357,Prague,Czech Republic,2023-02-27 09:00:00,-0.21,59,3.41
358,Prague,Czech Republic,2023-02-27 12:00:00,2.32,46,4.39
359,Prague,Czech Republic,2023-02-27 15:00:00,2.47,48,4.92
360,Copenhagen,Denmark,2023-02-22 18:00:00,3.37,74,7.83
361,Copenhagen,Denmark,2023-02-22 21:00:00,3.2,78,7.54
362,Copenhagen,Denmark,2023-02-23 00:00:00,3.84,82,6.37
363,Copenhagen,Denmark,2023-02-23 03:00:00,3.87,88,6.63
364,Copenhagen,Denmark,2023-02-23 06:00:00,3.69,88,6.09
365,Copenhagen,Denmark,2023-02-23 09:00:00,4.0,88,4.87
366,Copenhagen,Denmark,2023-02-23 12:00:00,5.33,90,3.51
367,Copenhagen,Denmark,2023-02-23 15:00:00,5.56,76,5.91
368,Copenhagen,Denmark,2023-02-23 18:00:00,3.61,69,6.71
369,Copenhagen,Denmark,2023-02-23 21:00:00,2.75,79,6.83
370,Copenhagen,Denmark,2023-02-24 00:00:00,3.44,79,6.79
371,Copenhagen,Denmark,2023-02-24 03:00:00,2.74,96,6.23
372,Copenhagen,Denmark,2023-02-24 06:00:00,2.73,97,7.27
373,Copenhagen,Denmark,2023-02-24 09:00:00,2.66,97,6.85
